iter	Passed	Remaining
166	41194	205481
167	41462	205337
168	41700	205050
169	41967	204902
170	42210	204636
171	42448	204343
172	42692	204085
173	42981	204036
174	43257	203926
175	43504	203681
176	43808	203698
177	44094	203626
178	44357	203450
179	44612	203234
180	44884	203094
181	45144	202901
182	45456	202939
183	45726	202788
184	45939	202380
185	46184	202117
186	46441	201910
187	46697	201693
188	46963	201520
189	47211	201268
190	47493	201162
191	47754	200968
192	48011	200751
193	48268	200538
194	48525	200323
195	48794	200157
196	49050	199938
197	49311	199737
198	49588	199599
199	49885	199543
200	50164	199410
201	50403	199117
202	50640	198821
203	50917	198676
204	51170	198440
205	51434	198248
206	51715	198117
207	51988	197957
208	52255	197772
209	52510	197540
210	52751	197254
211	52997	196990
212	53263	196801
213	53529	196608
214	53820	196507
215	54078	196285
216	54337	196064
217	54630	195969
218	54893	195763
219	55162	195577
220	55406	195301
221	55648	195019
222	55946	194936
223	56227	194787
224	56502	194620
225	56750	194357
226	57010	194136
227	57260	193882
228	57498	193585
229	57765	193387
230	58018	193144
231	58296	192982
232	58582	192843
233	58829	192578
234	59113	192434
235	59348	192129
236	59573	191790
237	59881	191721
238	60168	191582
239	60432	191368
240	60682	191113
241	60959	190938
242	61215	190701
243	61491	190521
244	61747	190284
245	61992	190008
246	62250	189776
247	62523	189587
248	62778	189343
249	63047	189142
250	63375	189116
251	63624	188854
252	63893	188650
253	64160	188440
254	64439	188264
255	64736	188141
256	64989	187886
257	65253	187667
258	65524	187465
259	65758	187159
260	66020	186932
261	66279	186696
262	66557	186513
263	66820	186286
264	67056	185986
265	67294	185691
266	67550	185447
267	67813	185222
268	68065	184966
269	68367	184846
270	68629	184614
271	68890	184382
272	69146	184137
273	69409	183908
274	69676	183692
275	69947	183485
276	70233	183316
277	70501	183101
278	70734	182792
279	70991	182549
280	71283	182393
281	71527	182117
282	71792	181892
283	72068	181695
284	72331	181462
285	72606	181261
286	72865	181020
287	73142	180824
288	73404	180591
289	73677	180382
290	73909	180074
291	74186	179877
292	74479	179716
293	74731	179457
294	75040	179334
295	75263	179005
296	75530	178781
297	75770	178493
298	76009	178203
299	76292	178016
300	76546	177760
301	76787	177476
302	77064	177273
303	77370	177137
304	77642	176923
305	77888	176649
306	78141	176391
307	78404	176155
308	78633	175844
309	78883	175578
310	79169	175395
311	79433	175160
312	79691	174913
313	79971	174715
314	80233	174476
315	80486	174218
316	80748	173978
317	80999	173716
318	81255	173463
319	81504	173197
320	81699	172816
321	81953	172559
322	82226	172345
323	82503	172137
324	82753	171872
325	82986	171572
326	83246	171329
327	83535	171145
328	83805	170922
329	84046	170640
330	84313	170410
331	84600	170219
332	84862	169980
333	85179	169848
334	85455	169635
335	85724	169407
336	85980	169154
337	86282	168991
338	86526	168714
339	86771	168438
340	87040	168210
341	87318	167998
342	87586	167767
343	87843	167514
344	88115	167291
345	88357	167010
346	88628	166784
347	88900	166561
348	89175	166340
349	89429	166082
350	89714	165881
351	89971	165630
352	90249	165414
353	90542	165227
354	90777	164933
355	91023	164660
356	91269	164386
357	91540	164160
358	91766	163849
359	92023	163596
360	92333	163437
361	92597	163197
362	92852	162940
363	93100	162669
364	93369	162438
365	93644	162214
366	93924	161999
367	94182	161748
368	94454	161519
369	94723	161286
370	94980	161032
371	95265	160825
372	95513	160554
373	95806	160360
374	96021	160036
375	96288	159797
376	96555	159560
377	96822	159321
378	97080	159068
379	97360	158851
380	97625	158608
381	97885	158358
382	98132	158088
383	98401	157852
384	98660	157601
385	98946	157391
386	99239	157192
387	99492	156931
388	99758	156689
389	100018	156438
390	100275	156183
391	100532	155927
392	100811	155705
393	101052	155425
394	101293	155146
395	101564	154911
396	101825	154661
397	102088	154415
398	102331	154139
399	102588	153882
400	102843	153624
401	103100	153368
402	103391	153163
403	103655	152918
404	103896	152637
405	104175	152413
406	104454	152190
407	104725	151954
408	104995	151716
409	105248	151455
410	105500	151191
411	105756	150934
412	106018	150684
413	106307	150474
414	106559	150210
415	106810	149944
416	107064	149685
417	107325	149434
418	107606	149210
419	107881	148979
420	108138	148721
421	108460	148554
422	108709	148286
423	108964	148027
424	109247	147805
425	109525	147576
426	109750	147275
427	110008	147020
428	110294	146802
429	110592	146599
430	110830	146317
431	111092	146065
432	111406	145883
433	111684	145652
434	111935	145386
435	112170	145101
436	112421	144835
437	112659	144554
438	112901	144276
439	113178	144045
440	113446	143801
441	113742	143592
442	113989	143322
443	114268	143092
444	114528	142839
445	114829	142635
446	115096	142389
447	115352	142130
448	115655	141929
449	115908	141666
450	116171	141414
451	116433	141162
452	116705	140923
453	116969	140673
454	117246	140438
455	117498	140174
456	117788	139954
457	118039	139688
458	118299	139433
459	118547	139164
460	118793	138892
461	119083	138673
462	119354	138430
463	119609	138169
464	119870	137915
465	120132	137662
466	120353	137362
467	120630	137127
468	120894	136875
469	121177	136647
470	121432	136385
471	121687	136125
472	121975	135900
473	122247	135658
474	122544	135443
475	122795	135177
476	123057	134924
477	123328	134680
478	123565	134400
479	123844	134164
480	124122	133928
481	124355	133643
482	124636	133410
483	124923	133182
484	125206	132950
485	125472	132700
486	125724	132436
487	125967	132163
488	126222	131900
489	126469	131631
490	126690	131335
491	126936	131064
492	127195	130807
493	127427	130522
494	127683	130263
495	127931	129995
496	128208	129755
497	128510	129542
498	128797	129314
499	129061	129061
500	129358	128841
501	129611	128578
502	129857	128308
503	130156	128090
504	130429	127847
505	130702	127603
506	130917	127301
507	131153	127022
508	131424	126776
509	131755	126588
510	132001	126318
511	132277	126076
512	132538	125821
513	132782	125548
514	133051	125300
515	133359	125089
516	133647	124858
517	133898	124592
518	134150	124328
519	134416	124076
520	134721	123861
521	134983	123605
522	135250	123354
523	135533	123118
524	135830	122894
525	136071	122619
526	136318	122350
527	136565	122081
528	136805	121805
529	137084	121565
530	137336	121300
531	137599	121046
532	137859	120788
533	138121	120533
534	138379	120273
535	138662	120035
536	138930	119785
537	139196	119533
538	139448	119268
539	139717	119018
540	139924	118715
541	140215	118484
542	140490	118239
543	140766	117995
544	141021	117733
545	141275	117470
546	141524	117203
547	141787	116948
548	142059	116701
549	142358	116475
550	142645	116239
551	142929	116001
552	143202	115753
553	143587	115595
554	143810	115307
555	144098	115071
556	144427	114867
557	144765	114671
558	145043	114426
559	145328	114186
560	145575	113917
561	145866	113682
562	146148	113440
563	146440	113205
564	146784	113010
565	147085	112782
566	147446	112599
567	147675	112316
568	147937	112058
569	148200	111800
570	148437	111523
571	148735	111291
572	149010	111042
573	149306	110809
574	149544	110533
575	149714	110206
576	149975	109947
577	150245	109694
578	150534	109456
579	150813	109209
580	151077	108952
581	151332	108689
582	151578	108418
583	151845	108163
584	152096	107897
585	152372	107648
586	152612	107374
587	152875	107117
2367	106320
589	152644	106074
590	152951	105849
