iter	Logloss
0	0.6729166495
1	0.6557048712
2	0.6405756316
3	0.6258744767
4	0.6135456418
5	0.5957317796
6	0.5805544196
7	0.56780468
8	0.5505095614
9	0.5373156455
10	0.5271633261
11	0.5125243848
12	0.5047012368
13	0.4947349962
14	0.4862579386
15	0.4755007674
16	0.4622580046
17	0.4539242586
18	0.4433285713
19	0.4334894706
20	0.4241236862
21	0.4187548036
22	0.4105918844
23	0.4023403146
24	0.3951291878
25	0.3881852609
26	0.3823876643
27	0.3775421324
28	0.3726327953
29	0.366420299
30	0.3607105359
31	0.3562272373
32	0.350649108
33	0.3458670673
34	0.3415528911
35	0.3366848456
36	0.3321491455
37	0.32749663
38	0.3244740455
39	0.3196794663
40	0.3155499411
41	0.3123957196
42	0.3095636841
43	0.3063088615
44	0.3024183397
45	0.2994323435
46	0.2972375384
47	0.294522564
48	0.2917525034
49	0.2894913514
50	0.2874464735
51	0.2850257039
52	0.2827021345
53	0.2808600236
54	0.2783422744
55	0.2756452158
56	0.2736232015
57	0.2719490087
58	0.2696588953
59	0.2675679066
60	0.2657730317
61	0.2642306206
62	0.2627512632
63	0.2618317369
64	0.2602114054
65	0.2587554193
66	0.2573843647
67	0.2560088366
68	0.25457501
69	0.2536550445
70	0.2522854148
71	0.2509107239
72	0.2500123531
73	0.2489510734
74	0.248045099
75	0.246652246
76	0.2456941445
77	0.2443878255
78	0.2431450692
79	0.2418977552
80	0.2410308108
81	0.240072475
82	0.239228001
83	0.2384820682
84	0.2376618224
85	0.2367567543
86	0.2361373488
87	0.235499908
88	0.2349185294
89	0.2340342602
90	0.2336287089
91	0.2329667005
92	0.2325685132
93	0.2317953819
94	0.2310486399
95	0.2304717887
96	0.2300101032
97	0.2296484991
98	0.2291990454
99	0.2286465391
100	0.2281938648
101	0.2278997947
102	0.2275318586
103	0.2270756642
104	0.2267191834
105	0.2263026231
106	0.2259975014
107	0.2255159059
108	0.2250182276
109	0.2244129381
110	0.2238872719
111	0.2236289094
112	0.2230751178
113	0.2225664458
114	0.222163149
115	0.2219709958
116	0.2215901362
117	0.2212664273
118	0.2207569736
119	0.2203203616
120	0.2200353956
121	0.2195662889
122	0.2192125161
123	0.2189268224
124	0.2185527465
125	0.2180966382
126	0.2175338321
127	0.2171777774
128	0.2169450253
129	0.2166502302
130	0.2163305312
131	0.2160450106
132	0.2155672499
133	0.2153797357
134	0.2152302001
135	0.2149703118
136	0.2146210287
137	0.2143711869
138	0.2140084536
139	0.2138032877
140	0.2136000007
141	0.2132538881
142	0.2130471915
143	0.2127845488
144	0.2123728881
145	0.2119884084
146	0.2117005056
147	0.211336489
148	0.2111292088
149	0.210884805
150	0.2105860215
151	0.2102473994
152	0.2100703029
153	0.2098591844
154	0.2097073667
155	0.2094803931
156	0.2092312543
157	0.2090966305
158	0.2088782439
159	0.2085524815
160	0.2083917516
161	0.208073785
162	0.2078692621
163	0.2075920727
164	0.2073718657
165	0.2071162427
166	0.2068213872
167	0.2066457759
168	0.2064341744
169	0.2061662693
170	0.2058602368
171	0.2056474214
172	0.2053842963
173	0.2052070324
174	0.20492105
175	0.2047736003
176	0.2044995211
177	0.2041774747
178	0.2039222654
179	0.2035244739
180	0.2033227995
181	0.2030754571
182	0.2028593305
183	0.2025498109
184	0.2024363793
185	0.2022011237
186	0.2019828416
187	0.20180901
188	0.2015667628
189	0.2014068261
190	0.2011939194
191	0.2009498956
192	0.200673609
193	0.200495654
194	0.2002228364
195	0.2000441846
196	0.1998274066
197	0.1996140885
198	0.199315069
199	0.1989432241
200	0.1987523156
201	0.1986168885
202	0.1983895381
203	0.1981253682
204	0.1977790305
205	0.1976510236
206	0.1974248019
207	0.197170989
208	0.1970392272
209	0.1968206787
210	0.1965385582
211	0.196289736
212	0.1961327793
213	0.1958685324
214	0.1957169454
215	0.1954866718
216	0.1953074505
217	0.1950181489
218	0.1947328067
219	0.1945758719
220	0.1943747742
221	0.1940935536
222	0.1938970595
223	0.1936336782
224	0.1934027738
225	0.1931627034
226	0.1929029144
227	0.1927354375
228	0.1925268594
229	0.1922238215
230	0.1920342016
231	0.1918279886
232	0.1917037198
233	0.1914967441
234	0.191287048
235	0.1911525215
236	0.1909655125
237	0.1907658367
238	0.1905709837
239	0.1904107459
240	0.1902532184
241	0.1900886965
242	0.1898384578
243	0.189625784
244	0.1894142071
245	0.1892080535
246	0.1890894151
247	0.1888862645
248	0.1886574729
249	0.1884486041
250	0.1883173007
251	0.1881696619
252	0.1879792297
253	0.1878697779
254	0.1876694398
255	0.1874731182
256	0.1871801661
257	0.1869705096
258	0.1867345797
259	0.1865058957
260	0.1863629873
261	0.1862181776
262	0.1859772557
263	0.1857713819
264	0.1856225389
265	0.1854594761
266	0.1853449093
267	0.1850935306
268	0.1848653508
269	0.1846722456
270	0.1844914444
271	0.1842877946
272	0.1841612732
273	0.1839465212
274	0.1838080485
275	0.1836497405
276	0.1835093261
277	0.1833106234
278	0.1831858827
279	0.1830042628
280	0.1828360046
281	0.1826756521
282	0.1825338702
283	0.1822913948
284	0.1820815059
285	0.1818829415
286	0.1817237475
287	0.1816381065
288	0.1813476782
289	0.1811297984
290	0.1810058714
291	0.1808277293
292	0.1806310992
293	0.180482598
294	0.1803035934
295	0.1800870159
296	0.1799316478
297	0.1796961607
298	0.1795716325
299	0.1793886445
300	0.1791236367
301	0.1789192571
302	0.1787623288
303	0.1785793062
304	0.1784501474
305	0.1782802628
306	0.1781632817
307	0.1778888242
308	0.1776959969
309	0.1775694459
310	0.177420284
311	0.1771827618
312	0.1769554108
313	0.1767084705
314	0.1765211342
315	0.1764040317
316	0.1761741771
317	0.176023203
318	0.1758466095
319	0.175711125
320	0.1754767699
321	0.175345056
322	0.1752041815
323	0.1750948871
324	0.1749178976
325	0.1747411066
326	0.1745548281
327	0.1743632094
328	0.174184936
329	0.1739859494
330	0.1738176399
331	0.1736264735
332	0.1734853468
333	0.1733556531
334	0.1731449761
335	0.1729057986
336	0.1727341656
337	0.1725654154
338	0.1724470159
339	0.1722721047
340	0.1721588111
341	0.1720509265
342	0.1719403336
343	0.1717704412
344	0.1716464225
345	0.1714905607
346	0.1713167368
347	0.1711757968
348	0.1710601363
349	0.1708346116
350	0.1706277514
351	0.1704314756
352	0.1702201764
353	0.1700365165
354	0.1698725596
355	0.1697394257
356	0.1695448256
357	0.1694011178
358	0.1692317512
359	0.1690871118
360	0.168972836
361	0.168815526
362	0.1686756486
363	0.1685367887
364	0.1683763811
365	0.1681236061
366	0.1679784212
367	0.1677885066
368	0.1676229297
369	0.1675348494
370	0.1673885816
371	0.167154872
372	0.1669886612
373	0.1668419133
374	0.1666803023
375	0.1665197579
376	0.166367483
377	0.1661781294
378	0.1660331942
379	0.1658263718
380	0.165669382
381	0.1655697497
382	0.1654908863
383	0.1653137673
384	0.1651679216
385	0.1650417645
386	0.1648256493
387	0.1646825859
388	0.1644398895
389	0.1642468623
390	0.1639925378
391	0.1637459995
392	0.1636461937
393	0.163521836
394	0.1633696406
395	0.163183761
396	0.1630455111
397	0.1629290567
398	0.1627433904
399	0.1626170618
400	0.1624654689
401	0.1622653744
402	0.1621386972
403	0.1619402734
404	0.1617480563
405	0.161590599
406	0.1615234325
407	0.1613259641
408	0.1611546953
409	0.1609383386
410	0.1608041485
411	0.1607156578
412	0.1605663512
413	0.1604268435
414	0.1602589971
415	0.1601099027
416	0.1599331516
417	0.1597305208
418	0.1594945025
419	0.1593741195
420	0.1592650007
421	0.1592158878
422	0.1589841848
423	0.1587985399
424	0.1586337019
425	0.1585784884
426	0.1584786982
427	0.1583232982
428	0.1581179823
429	0.1578870761
430	0.1577398781
431	0.157584217
432	0.1573913806
433	0.1572658208
434	0.1571570446
435	0.1569326416
436	0.1568061989
437	0.1566494731
438	0.1564830597
439	0.156352722
440	0.1562384004
441	0.1561050499
442	0.1560085985
443	0.1558947026
444	0.1557439898
445	0.1555605427
446	0.1554431743
447	0.1553034814
448	0.1551348415
449	0.1549614144
450	0.1548422684
451	0.1547209851
452	0.1545415853
453	0.1544453378
454	0.1542686313
455	0.1540412755
456	0.1539392487
457	0.1538865029
458	0.1537478611
459	0.1535888706
460	0.1535230077
461	0.1533634261
462	0.1532407597
463	0.1530412683
464	0.1529317726
465	0.1527874012
466	0.152605066
467	0.1525661323
468	0.1523483787
469	0.1522856234
470	0.1521796138
471	0.1520411009
472	0.1518856171
473	0.1516368504
474	0.1515107335
475	0.1513863847
476	0.1512937451
477	0.1512154785
478	0.1511056317
479	0.1508762373
480	0.1507341046
481	0.1506070951
482	0.1505030361
483	0.1504045529
484	0.1502988752
485	0.1501687993
486	0.1499986679
487	0.1498316392
488	0.1496444017
489	0.1494122088
490	0.1493219218
491	0.1491754934
492	0.1490470645
493	0.1489255747
494	0.1486850503
495	0.1485495236
496	0.1483814937
497	0.1483243462
498	0.1481193461
499	0.1480021
500	0.1478167998
501	0.1477098456
502	0.1475237144
503	0.1473628517
504	0.1472491781
505	0.1469809257
506	0.1468211704
507	0.1466287079
508	0.1464724718
509	0.1463700481
510	0.1463097167
511	0.1461231947
512	0.1459725493
513	0.1458838164
514	0.1457469985
515	0.1456154575
516	0.1455597101
517	0.1455215893
518	0.1453827197
519	0.1452569887
520	0.1451596211
521	0.1451163886
522	0.1450710821
523	0.1450065252
524	0.1447913378
525	0.1445486229
526	0.1444149386
527	0.1442454756
528	0.1442039436
529	0.1441044593
530	0.1440125247
531	0.1439483419
532	0.1438323134
533	0.1437278458
534	0.1435247617
535	0.1433534469
536	0.143180075
537	0.1430941761
538	0.1429324688
539	0.142793403
540	0.1427087193
541	0.1425831849
542	0.1424759244
543	0.1423883622
544	0.142195288
545	0.1420957421
546	0.1419047117
547	0.1418187583
548	0.1416562268
549	0.1415820083
550	0.1413958043
551	0.1412887499
552	0.1412034029
553	0.1411577217
554	0.141052202
555	0.1409901093
556	0.1409021043
557	0.1407183881
558	0.1405478554
559	0.1403540428
560	0.140172642
561	0.1401076027
562	0.1399554736
563	0.1398211946
564	0.1396754939
565	0.139485699
566	0.1393207186
567	0.1392229588
568	0.139092896
569	0.1389441148
570	0.1388990048
571	0.1388375826
572	0.138797573
573	0.1386389665
574	0.1384516723
575	0.1383213855
576	0.1382167672
577	0.138066691
578	0.1377721574
579	0.1376552421
580	0.1375221357
581	0.1373247822
582	0.1371080811
583	0.136898818
584	0.1367832808
585	0.1367125266
586	0.1366650499
587	0.1364695831
588	0.1362669763
589	0.1360873078
590	0.1359280461
591	0.1358039933
592	0.1357218853
593	0.1356089155
594	0.1354605955
595	0.1354042117
596	0.1352671356
597	0.1350310241
598	0.1349958994
599	0.134961667
600	0.1348323388
601	0.1345644386
602	0.1343762782
603	0.1342123823
604	0.1340731759
605	0.1339753616
606	0.1338199568
607	0.1336273432
608	0.1334965387
609	0.1333976962
610	0.1332425294
611	0.1331413308
612	0.1330249987
613	0.132885125
614	0.1326976066
615	0.132653281
616	0.1325401393
617	0.1325043778
618	0.1323232699
619	0.1320215699
620	0.1319228774
621	0.1318404968
622	0.1317126982
623	0.1316632172
624	0.1315645311
625	0.1314697549
626	0.1313301572
627	0.1310394979
628	0.1308680619
629	0.1308308166
630	0.1307305061
631	0.1306329477
632	0.1305775616
633	0.1304049599
634	0.1302805189
635	0.1301915467
636	0.1300766904
637	0.1300247244
638	0.1299200019
639	0.1297118786
640	0.1296526113
641	0.1294921399
642	0.1293365249
643	0.1292302813
644	0.1291488505
645	0.1291063174
646	0.1289838306
647	0.1288735419
648	0.1286976405
649	0.1286025282
650	0.128348435
651	0.1282273153
652	0.1280970179
653	0.1279603877
654	0.1277844714
655	0.1276321785
656	0.1274484227
657	0.1274004619
658	0.1272613676
659	0.1271105453
660	0.1269629439
661	0.1267785091
662	0.1267275695
663	0.1265933972
664	0.1264348991
665	0.1263977765
666	0.1262237019
667	0.126128831
668	0.1260414579
669	0.126009334
670	0.1259629295
671	0.1257630498
672	0.1256502778
673	0.1255484363
674	0.1254838637
675	0.125368337
676	0.1253341304
677	0.1252203635
678	0.1250414433
679	0.1248794357
680	0.1248095963
